Metric,Last,History 10Y Percentile Rank,History 10Y Minimum Value,History 10Y 25th Percentile Value,History 10Y 50th Percentile Value,History 10Y 75th Percentile Value,History 10Y Maximum Value,Region Percentile Rank,Region Minimum Value,Region 25th Percentile Value,Region 50th Percentile Value,Region 75th Percentile Value,Region Maximum Value,Region Sector Percentile Rank,Region Sector Minimum Value,Region Sector 25th Percentile Value,Region Sector 50th Percentile Value,Region Sector 75th Percentile Value,Region Sector Maximum Value
Price / Earnings - P/E (NTM),27.8x,59,19.1x,25.0x,27.0x,29.0x,35.5x,80,,,,,,62,,,,,
Price / Earnings - P/E (LTM),40.9x,64,16.3x,27.9x,35.5x,46.3x,68.2x,83,,,,,,68,,,,,
Price / Sales - P/S (NTM),7.6x,67,4.2x,5.3x,6.8x,7.8x,9.2x,89,,,,,,82,,,,,
Price / Sales - P/S (LTM),8.4x,57,4.3x,5.9x,7.6x,9.0x,11.3x,86,,,,,,77,,,,,
Price / Book - P/B (LTM),3.2x,17,2.8x,3.3x,3.7x,4.2x,4.9x,67,,,,,,48,,,,,
Price / Tangible Book Value - P/TBV (LTM),,,,,,,,,,,,,,,,,,,
Price / Free Cash Flow (LTM),26.2x,53,17.4x,22.7x,26.0x,28.6x,75.8x,73,,,,,,54,,,,,
Price / Gross Profit (LTM),12.2x,57,7.2x,9.5x,11.6x,13.0x,16.1x,84,,,,,,72,,,,,
EV / Sales (NTM),8.5x,61,4.7x,6.2x,7.8x,8.9x,10.2x,87,,,,,,85,,,,,
EV / Sales (LTM),9.4x,56,4.8x,7.0x,8.5x,10.1x,13.7x,85,,,,,,80,,,,,
EV / EBITDA (NTM),21.3x,52,12.6x,17.8x,21.1x,22.7x,26.1x,87,,,,,,71,,,,,
EV / EBITDA (LTM),23.2x,55,14.0x,20.6x,22.8x,24.7x,34.0x,85,,,,,,66,,,,,
EV / EBIT (NTM),29.2x,56,15.6x,22.5x,27.6x,31.5x,36.1x,83,,,,,,69,,,,,
EV / EBIT (LTM),33.3x,56,16.7x,26.0x,30.6x,35.5x,50.9x,82,,,,,,65,,,,,
EV / Gross Profit (LTM),13.6x,56,8.0x,11.3x,13.0x,14.5x,19.5x,80,,,,,,76,,,,,
Free Cash Flow / EV Yield (LTM),0.0342,55,0.0119,0.0304,0.0337,0.0376,0.0512,33,,,,,,41,,,,,
Free Cash Flow / Market Cap Yield (LTM),0.0381,47,0.0132,0.0350,0.0384,0.0440,0.0573,28,,,,,,47,,,,,
Dividend Yield (Ind),0.0058,56,0.0045,0.0054,0.0057,0.0062,0.0081,12,,,,,,23,,,,,
Buyback Yield (LTM),-0.0021,13,-0.0027,-0.0018,-0.0014,-0.0009,-0.0002,39,,,,,,36,,,,,
Debt Payback Yield (LTM),0.0041,68,-0.1436,-0.0298,-0.0163,0.0154,0.0452,59,,,,,,61,,,,,
Shareholder Yield (LTM),0.0074,63,-0.1384,-0.0246,-0.0112,0.0188,0.0489,28,,,,,,21,,,,,
Shareholder Yield excluding Debt (LTM),0.0033,27,0.0026,0.0033,0.0039,0.0045,0.0058,43,,,,,,51,,,,,
